projectid;CURRENT.DATE;simulationid;Year;DOY;DATE;DoSow;DevStage;PlantingDOY;EmergenceDATE;EmergenceDOY;AnthesisDate;AnthesisDOY;MilkripenessDate;MilkripenessDOY;MaturityDate;MaturityDOY;HarvestDATE;FertilizeAmount;FertilizeAmount_Nitrogen;Yield_t_ha;Yield_translocated_t_ha;AGBiomass_t_ha;maxLAI;maxSeminal_RootDepth;maxRootDepth;Rain;Radiation;Tmax;Tmin;TRANRF;NNI;PNI;KNI;NPKI;NUptake_SlimN;cropNuptake_kg_ha;cropPuptake_kg_ha;TotalUptakeP;CumulatedFertilizerP;TotalCropAvailWaterContent_Sum;TotalCropAvailWaterContent_Avg;inputChemN_kg_ha;PLeaching;CumulatedSeepN;NitrateLossSeepage;CumulatedMineralizedP;WSEEP_SUM;ActualTranspiration;ActualEvapotranspiration;PotentialEvapotranspiration;ReferenceEvapotranspiration
49662;10.08.2009;49662_00__1;2009;222;10.08.2009;false;2.002290;271;03.10.2008;277;13.07.2009;194;NULL;NULL;10.08.2009;222;10.08.2009;13.493492;12.045754;3.368468;8.475627;21.743181;7.272769;1.800000;1.800000;489.600000;4096.155000;14.160484;5.221505;0.760553;0.981953;0.983871;0.964235;0.962323;0.8078052625175434;271.206482;53.919217;5.391922;0.428378;1755.733599;4.719714;120.457540;8.794445;0.418595;0.000000;-32.000547;122.310813;422.872050;511.134519;714.850609;709.045937
49662;16.08.2010;49662_00__1;2010;228;16.08.2010;false;2.003460;271;04.10.2009;277;19.07.2010;200;NULL;NULL;16.08.2010;228;16.08.2010;13.493492;12.045754;2.081348;7.210129;20.644403;7.110559;1.800000;1.800000;573.200000;4068.643000;13.742588;4.612938;0.783142;0.982405;0.983827;0.969582;0.968172;0.5891060407152457;264.998568;52.764243;5.391922;0.428378;2103.976086;5.671095;120.457540;14.053152;4.686392;0.000000;-24.983458;198.411163;427.630375;502.235930;715.585583;708.153657
49662;13.08.2011;49662_00__1;2011;225;13.08.2011;false;2.012190;271;05.10.2010;278;13.07.2011;194;NULL;NULL;13.08.2011;225;13.08.2011;13.493492;12.045754;5.481832;10.030381;21.813723;6.488793;1.800000;1.800000;732.400000;4002.811000;13.441160;4.620994;0.799746;0.950975;0.980663;0.980465;0.950848;0.6822067591450949;247.590258;47.526670;5.276424;0.428378;1715.922002;4.740116;120.457540;9.466549;0.675268;0.000000;-35.456910;132.515998;442.423988;521.667382;693.247506;681.929456
49662;04.08.2012;49662_00__1;2012;217;04.08.2012;false;2.031450;271;02.10.2011;275;05.07.2012;187;NULL;NULL;04.08.2012;217;04.08.2012;13.493492;12.045754;4.723441;9.084245;20.446653;6.404523;1.800000;1.800000;478.900000;3872.085000;14.268627;5.181793;0.804161;0.972069;0.988796;0.988796;0.972069;0.6390722696105828;218.947778;43.228894;4.752667;0.428378;1644.541562;4.606559;120.457540;8.666727;0.447256;0.000000;-36.418387;122.229286;419.927999;496.715527;663.229069;661.959828
49662;18.08.2013;49662_00__1;2013;230;18.08.2013;false;2.028570;271;02.10.2012;276;23.07.2013;204;NULL;NULL;18.08.2013;230;18.08.2013;13.493492;12.045754;4.348947;10.442403;26.346279;7.040053;1.800000;1.800000;572.100000;4202.038000;13.799736;4.948549;0.820607;0.972272;0.986807;0.959354;0.944819;0.6226343703457864;289.823663;57.365999;5.736600;0.428378;2616.580798;6.903907;120.457540;10.505157;1.295250;0.000000;-33.879851;146.422922;512.299134;588.364529;727.719563;731.046484
49662;25.07.2014;49662_00__1;2014;206;25.07.2014;false;2.034600;271;06.10.2013;279;27.06.2014;178;NULL;NULL;25.07.2014;206;25.07.2014;13.493492;12.045754;6.014749;11.233017;24.762070;6.242180;1.800000;1.800000;548.900000;3573.066000;14.577126;5.504692;0.833123;0.955504;0.976540;0.972428;0.951393;0.5666277256287311;254.881439;47.876341;5.736600;0.428378;1925.905041;5.647815;120.457540;9.400068;0.648977;0.000000;-30.530718;132.287035;470.951558;522.823588;631.185394;613.627006
49662;03.08.2015;49662_00__1;2015;215;03.08.2015;false;2.012370;271;02.10.2014;275;05.07.2015;186;NULL;NULL;03.08.2015;215;03.08.2015;13.493492;12.045754;3.915318;7.504805;16.903379;6.117240;1.800000;1.800000;476.400000;4195.905000;15.025134;5.984492;0.736207;0.976424;0.989305;0.989305;0.976424;0.502254466566207;192.486959;38.422076;4.787634;0.428378;2062.212546;5.513937;120.457540;4.855236;0.002140;0.000000;-42.829135;67.452636;382.333838;486.593621;713.355018;725.887953
49662;26.07.2016;49662_00__1;2016;208;26.07.2016;false;2.036580;271;04.10.2015;277;26.06.2016;178;NULL;NULL;26.07.2016;208;26.07.2016;13.493492;12.045754;3.225642;8.158085;20.951306;6.166927;1.800000;1.800000;561.800000;3970.285000;15.120112;6.028771;0.764958;0.972531;0.983240;0.983136;0.972427;0.6061567925105162;241.638956;46.293860;4.629386;0.428378;1807.056571;5.047644;120.457540;10.049851;1.044771;0.000000;-29.799005;140.676553;423.768625;510.496183;704.851678;699.985034
49662;07.08.2017;49662_00__1;2017;219;07.08.2017;false;2.017140;271;01.10.2016;275;09.07.2017;190;NULL;NULL;07.08.2017;219;07.08.2017;13.493492;12.045754;5.673096;10.461310;23.030311;6.856411;1.800000;1.800000;499.700000;4144.613000;14.988594;5.891777;0.796148;0.972436;0.989390;0.988647;0.971693;0.5830254008793965;252.199156;47.656224;4.765622;0.428378;1760.243887;4.669082;120.457540;6.467223;0.041564;0.000000;-37.418831;88.755082;474.358919;550.360190;724.204406;735.423427
49662;23.07.2018;49662_00__1;2018;204;23.07.2018;false;2.030100;271;02.10.2017;275;23.06.2018;174;NULL;NULL;23.07.2018;204;23.07.2018;13.493492;12.045754;1.287645;5.673096;15.596344;7.052760;1.800000;1.800000;398.300000;3935.892000;14.920857;5.670000;0.709138;0.988325;0.988571;0.986287;0.986040;0.7462532568648044;228.151843;45.426034;4.765622;0.428378;1894.399755;5.412571;120.457540;10.550314;1.310779;0.000000;-30.632109;147.612537;323.163679;401.238462;691.942065;694.068046
49662;24.07.2019;49662_00__1;2019;205;24.07.2019;false;2.032980;271;05.10.2018;278;24.06.2019;175;NULL;NULL;24.07.2019;205;24.07.2019;13.493492;12.045754;1.382861;5.187190;15.118639;6.031723;1.800000;1.800000;324.400000;4387.598000;16.587158;6.229508;0.691116;0.979069;0.980874;0.980874;0.979069;0.5758827152718806;196.399230;39.493957;4.542603;0.428378;1771.111632;4.839103;120.457540;4.113394;0.000300;0.000000;-43.246128;56.799982;344.987942;429.740520;763.187480;803.414890
49662;23.07.2020;49662_00__1;2020;205;23.07.2020;false;2.019570;271;02.10.2019;275;22.06.2020;174;NULL;NULL;23.07.2020;205;23.07.2020;13.493492;12.045754;3.929949;8.094975;19.009102;6.183006;1.800000;1.800000;438.900000;4174.554000;15.992055;6.303014;0.734137;0.973893;0.989041;0.989041;0.973893;0.592410589985281;215.885944;41.471151;4.147115;0.428378;2120.693421;5.810119;120.457540;9.881451;0.846818;0.000000;-31.490130;140.513969;395.409877;463.374589;708.396738;729.507947
49662;02.08.2021;49662_00__1;2021;214;02.08.2021;false;2.004810;271;02.10.2020;276;06.07.2021;187;NULL;NULL;02.08.2021;214;02.08.2021;13.493492;12.045754;4.573087;9.140662;20.994827;6.730527;1.800000;1.800000;474.800000;4171.524000;15.374933;5.869867;0.759336;0.969235;0.986667;0.984589;0.967157;0.5501860913161543;231.254987;45.316890;4.531689;0.428378;2154.386501;5.745031;120.457540;5.733273;0.012272;0.000000;-37.445576;79.013027;434.485902;514.704470;730.818252;745.218809
49662;08.07.2022;49662_00__1;2022;189;08.07.2022;false;2.004450;271;03.10.2021;276;11.06.2022;162;NULL;NULL;08.07.2022;189;08.07.2022;13.493492;12.045754;1.097861;4.760068;14.388625;6.462527;1.800000;1.800000;369.400000;3636.269000;16.267353;6.046176;0.699195;0.985294;0.985294;0.985294;0.985294;0.5489316997992038;201.349654;40.237873;4.531689;0.428378;1553.260520;4.568413;120.457540;7.470811;0.138863;0.000000;-34.571529;104.172031;294.885056;388.175257;643.018244;654.117935
